WALNUT CREEK,1,2800 Mitchell Drive,94598,143-040-103-2,,"BP, Business Park",P-D,0,0,9.49,Industrial,1,YES - Current,No - Privately Owned,Pending Project,Not Used in Prior Housing Element,0,0,254,254,"Max Density for current zoning is 0, but there is a proposed project for the site."
WALNUT CREEK,2,"1910, 1940-1950 N Main St",94596,178-411-017-1,,"MU-R, Mixed Use-Residential Emphasis",MU-R,0,102.49,0.97,Residential,2,YES - Current,No - Privately Owned,Pending Project,Used in Prior Housing Element - Non-Vacant,11,0,124,135,North Downtown Specific Plan
WALNUT CREEK,3,1556 Mt Diablo Blvd,94596,178-230-028-7,A,"PR, Pedestrian Retail",P-R,0,0,0.76,Retail Sales,3,YES - Current,No - Privately Owned,Pending Project,Not Used in Prior Housing Element,0,0,30,30,"Locust Street / Mt. Diablo Boulevard Specific Plan Max Density for current zoning is 0, but there is a proposed project for the site."
WALNUT CREEK,3,1532 Mt Diablo Blvd,94596,178-230-029-5,A,"PR, Pedestrian Retail",P-R,0,0,0,Automotive Uses,3,YES - Current,No - Privately Owned,Pending Project,Not Used in Prior Housing Element,0,0,0,0,"Locust Street / Mt. Diablo Boulevard Specific Plan Max Density for current zoning is 0, but there is a proposed project for the site."
WALNUT CREEK,4,1665 Carmel Dr,94596,178-290-008-6,,"MFVH, Multifamily Very High",M-1,0,43.56,0.27,Vacant,4,YES - Current,No - Privately Owned,Pending Project,Not Used in Prior Housing Element,0,0,8,8,
WALNUT CREEK,5,1380 North California,94596,178-160-028-1,,"PR, Pedestrian Retail",P-R,0,0,0.67,Residential,5,YES - Current,No - Privately Owned,Pending Project,Not Used in Prior Housing Element,0,0,95,95,"Locust Street / Mt. Diablo Boulevard Specific Plan Max Density for current zoning is 0, but there is a project under construction on the site."
WALNUT CREEK,6,699 Ygnacio Valley Rd,94596,178-402-003-2,,"MU-C, Mixed Use-Commercial Emphasis",MU-C,0,49.78,0.87,Automotive Uses,6,YES - Current,No - Privately Owned,Pending Project,Not Used in Prior Housing Element,95,1,0,96,North Downtown Specific Plan
WALNUT CREEK,7,1250 Las Juntas Way,94598,148-180-050-4,B,"MFL, Multifamily Low",M-3,0,14.52,1.91,Vacant,7,YES - Current,No - Privately Owned,Pending Project,Not Used in Prior Housing Element,22,20,0,42,
WALNUT CREEK,7,1250 Las Juntas Way,94598,148-180-051-2,B,"MFL, Multifamily Low",M-3,0,14.52,0,Vacant,7,YES - Current,No - Privately Owned,Pending Project,Not Used in Prior Housing Element,0,0,0,0,
WALNUT CREEK,7,1250 Las Juntas Way,94598,148-180-052-0,B,"MFL, Multifamily Low",M-3,0,14.52,0,Vacant,7,YES - Current,No - Privately Owned,Pending Project,Not Used in Prior Housing Element,0,0,0,0,
WALNUT CREEK,8,1394 Walden Rd,94597,172-130-015-8,C,"MFM, Multifamily Medium",M-2.5,0,17.42,0.43,"Residential, 1",8,YES - Current,No - Privately Owned,Pending Project,Used in Prior Housing Element - Non-Vacant,0,0,6,6,
WALNUT CREEK,8,1394 Walden Rd,94596,172-130-016-6,C,"MFM, Multifamily Medium",M-2.5,0,17.42,0.08,Vacant,8,YES - Current,No - Privately Owned,Pending Project,Used in Prior Housing Element - Non-Vacant,0,0,0,0,
WALNUT CREEK,9,1501 N California Blvd,94596,178-140-001-3,D,"MU-D, Mixed Use-Downtown",MU-D,0,58.1,0.42,Office,9,YES - Current,No - Privately Owned,Pending Project,Not Used in Prior Housing Element,0,0,27,27,West Downtown Specific Plan
